race_id	title	info1	info2	around_dir	around_inout	course_abc
202301010307	3歳以上1勝クラス	['芝右2000m', '天候:晴', '芝:良', '発走:13:15']	['2023年7月29日', '1回札幌3日目', '3歳以上1勝クラス', '指', '定量']			
202301010308	3歳以上1勝クラス	['ダ右1700m', '天候:曇', 'ダート:良', '発走:13:50']	['2023年7月29日', '1回札幌3日目', '3歳以上1勝クラス', '指', '定量']			
202301010309	積丹特別(1勝)	['芝右2600m', '天候:曇', '芝:良', '発走:14:25', '過去の積丹特別']	['2023年7月29日', '1回札幌3日目', '3歳以上1勝クラス', '混', '特指', '定量']			
202301010310	摩周湖特別(2勝)	['芝右1500m', '天候:曇', '芝:良', '発走:15:01', '過去の摩周湖特別']	['2023年7月29日', '1回札幌3日目', '3歳以上2勝クラス', '混', '指', '定量']			
202301010311	STV賞(3勝)	['芝右2000m', '天候:曇', '芝:良', '発走:15:35', '過去のSTV賞']	['2023年7月29日', '1回札幌3日目', '3歳以上3勝クラス', '混', '指', 'ハンデ']			
202301010312	3歳以上2勝クラス	['ダ右1000m', '天候:曇', 'ダート:良', '発走:16:15']	['2023年7月29日', '1回札幌3日目', '3歳以上2勝クラス', '混', '指', '定量']			
202301010401	3歳未勝利	['芝右1500m', '天候:曇', '芝:良', '発走:09:50']	['2023年7月30日', '1回札幌4日目', '3歳未勝利', '混', '指', '馬齢']			
202301010402	3歳未勝利	['ダ右1000m', '天候:曇', 'ダート:良', '発走:10:20']	['2023年7月30日', '1回札幌4日目', '3歳未勝利', '混', '指', '馬齢']			
202301010403	3歳未勝利	['ダ右1700m', '天候:曇', 'ダート:良', '発走:10:50']	['2023年7月30日', '1回札幌4日目', '3歳未勝利', '指', '馬齢']			
202301010404	3歳未勝利	['芝右2000m', '天候:曇', '芝:良', '発走:11:20']	['2023年7月30日', '1回札幌4日目', '3歳未勝利', '指', '馬齢']			
202301010405	2歳新馬	['芝右1800m', '天候:曇', '芝:良', '発走:12:10']	['2023年7月30日', '1回札幌4日目', '2歳新馬', '指', '馬齢']			
202301010406	3歳以上1勝クラス	['ダ右1700m', '天候:曇', 'ダート:良', '発走:12:40']	['2023年7月30日', '1回札幌4日目', '3歳以上1勝クラス', '混', '特指', '定量']			
202301010407	3歳以上1勝クラス	['芝右1800m', '天候:曇', '芝:良', '発走:13:15']	['2023年7月30日', '1回札幌4日目', '3歳以上1勝クラス', '牝', '指', '定量']			
202301010408	3歳以上1勝クラス	['芝右1200m', '天候:曇', '芝:良', '発走:13:50']	['2023年7月30日', '1回札幌4日目', '3歳以上1勝クラス', '混', '特指', '定量']			
202301010409	阿寒湖特別(2勝)	['芝右2600m', '天候:曇', '芝:良', '発走:14:25', '過去の阿寒湖特別']	['2023年7月30日', '1回札幌4日目', '3歳以上2勝クラス', '混', '特指', '定量']			
202301010410	ポプラステークス(3勝)	['ダ右1700m', '天候:曇', 'ダート:良', '発走:15:01', '過去のポプラステークス']	['2023年7月30日', '1回札幌4日目', '3歳以上3勝クラス', '混', '特指', '定量']			
202301010411	第71回クイーンステークス(GIII)	['芝右1800m', '天候:曇', '芝:良', '発走:15:35', '過去のクイーンステークス']	['2023年7月30日', '1回札幌4日目', '3歳以上オープン', '国際', '牝', '特指', '別定']			
202301010412	3歳以上2勝クラス	['ダ右1700m', '天候:曇', 'ダート:良', '発走:16:15']	['2023年7月30日', '1回札幌4日目', '3歳以上2勝クラス', '牝', '指', '定量']			
202301010501	2歳未勝利	['ダ右1700m', '天候:曇', 'ダート:不良', '発走:09:50']	['2023年8月5日', '1回札幌5日目', '2歳未勝利', '混', '指', '馬齢']			
202301010502	3歳未勝利	['ダ右1000m', '天候:曇', 'ダート:不良', '発走:10:20']	['2023年8月5日', '1回札幌5日目', '3歳未勝利', '指', '馬齢']			
202301010503	3歳未勝利	['芝右1200m', '天候:曇', '芝:稍重', '発走:10:50']	['2023年8月5日', '1回札幌5日目', '3歳未勝利', '混', '指', '馬齢']			
202301010504	3歳未勝利	['ダ右1700m', '天候:曇', 'ダート:不良', '発走:11:20']	['2023年8月5日', '1回札幌5日目', '3歳未勝利', '指', '馬齢']			
202301010505	2歳新馬	['芝右1200m', '天候:曇', '芝:稍重', '発走:12:10']	['2023年8月5日', '1回札幌5日目', '2歳新馬', '混', '指', '馬齢']			
202301010506	3歳未勝利	['芝右2000m', '天候:曇', '芝:稍重', '発走:12:40']	['2023年8月5日', '1回札幌5日目', '3歳未勝利', '指', '馬齢']			
202301010507	3歳以上1勝クラス	['ダ右1700m', '天候:曇', 'ダート:不良', '発走:13:15']	['2023年8月5日', '1回札幌5日目', '3歳以上1勝クラス', '牝', '指', '定量']			
202301010508	3歳以上1勝クラス	['芝右1800m', '天候:曇', '芝:稍重', '発走:13:50']	['2023年8月5日', '1回札幌5日目', '3歳以上1勝クラス', '特指', '定量']			
202301010509	利尻特別(1勝)	['芝右2000m', '天候:曇', '芝:稍重', '発走:14:25', '過去の利尻特別']	['2023年8月5日', '1回札幌5日目', '3歳以上1勝クラス', '混', '指', '定量']			
202301010510	桑園特別(2勝)	['ダ右1700m', '天候:曇', 'ダート:重', '発走:15:01', '過去の桑園特別']	['2023年8月5日', '1回札幌5日目', '3歳以上2勝クラス', '混', '指', 'ハンデ']			
202301010511	札幌日経オープン(L)	['芝右2600m', '天候:曇', '芝:稍重', '発走:15:35', '過去の札幌日経オープン']	['2023年8月5日', '1回札幌5日目', '3歳以上オープン', '国際', '指', '別定']			
202301010512	3歳以上1勝クラス	['芝右1500m', '天候:曇', '芝:稍重', '発走:16:15']	['2023年8月5日', '1回札幌5日目', '3歳以上1勝クラス', '混', '指', '定量']			
202301010601	2歳未勝利	['芝右1500m', '天候:雨', '芝:重', '発走:09:50']	['2023年8月6日', '1回札幌6日目', '2歳未勝利', '混', '指', '馬齢']			
202301010602	3歳未勝利	['ダ右1700m', '天候:小雨', 'ダート:不良', '発走:10:20']	['2023年8月6日', '1回札幌6日目', '3歳未勝利', '指', '馬齢']			
202301010603	3歳未勝利	['芝右2000m', '天候:曇', '芝:重', '発走:10:50']	['2023年8月6日', '1回札幌6日目', '3歳未勝利', '牝', '指', '馬齢']			
202301010604	3歳未勝利	['ダ右1700m', '天候:曇', 'ダート:不良', '発走:11:20']	['2023年8月6日', '1回札幌6日目', '3歳未勝利', '混', '指', '馬齢']			
202301010605	2歳新馬	['芝右1800m', '天候:曇', '芝:重', '発走:12:10']	['2023年8月6日', '1回札幌6日目', '2歳新馬', '混', '指', '馬齢']			
202301010606	3歳未勝利	['芝右2600m', '天候:曇', '芝:重', '発走:12:40']	['2023年8月6日', '1回札幌6日目', '3歳未勝利', '混', '指', '馬齢']			
202301010607	3歳以上1勝クラス	['ダ右1000m', '天候:曇', 'ダート:不良', '発走:13:15']	['2023年8月6日', '1回札幌6日目', '3歳以上1勝クラス', '混', '指', '定量']			
202301010608	3歳以上1勝クラス	['ダ右1700m', '天候:曇', 'ダート:不良', '発走:13:50']	['2023年8月6日', '1回札幌6日目', '3歳以上1勝クラス', '指', '定量']			
202301010609	HTB賞(2勝)	['芝右1800m', '天候:曇', '芝:重', '発走:14:25', '過去のHTB賞']	['2023年8月6日', '1回札幌6日目', '3歳以上2勝クラス', '混', '指', '定量']			
202301010610	札幌スポニチ賞(2勝)	['芝右1200m', '天候:曇', '芝:重', '発走:15:01', '過去の札幌スポニチ賞']	['2023年8月6日', '1回札幌6日目', '3歳以上2勝クラス', '混', '特指', '定量']			
202301010611	第28回エルムステークス(GIII)	['ダ右1700m', '天候:曇', 'ダート:不良', '発走:15:35', '過去のエルムステークス']	['2023年8月6日', '1回札幌6日目', '3歳以上オープン', '国際', '指', '別定']			
202301010612	3歳以上1勝クラス	['芝右1200m', '天候:曇', '芝:重', '発走:16:15']	['2023年8月6日', '1回札幌6日目', '3歳以上1勝クラス', '牝', '指', '定量']			
202301020101	2歳未勝利	['芝右1800m', '天候:晴', '芝:良', '発走:09:50']	['2023年8月12日', '2回札幌1日目', '2歳未勝利', '混', '指', '馬齢']			
202301020102	3歳未勝利	['ダ右1700m', '天候:晴', 'ダート:良', '発走:10:25']	['2023年8月12日', '2回札幌1日目', '3歳未勝利', '牝', '指', '馬齢']			
202301020103	3歳未勝利	['ダ右1000m', '天候:晴', 'ダート:良', '発走:10:55']	['2023年8月12日', '2回札幌1日目', '3歳未勝利', '混', '指', '馬齢']			
202301020104	3歳未勝利	['ダ右1700m', '天候:晴', 'ダート:良', '発走:11:25']	['2023年8月12日', '2回札幌1日目', '3歳未勝利', '指', '馬齢']			
202301020105	2歳新馬	['芝右1500m', '天候:晴', '芝:良', '発走:12:15']	['2023年8月12日', '2回札幌1日目', '2歳新馬', '牝', '指', '馬齢']			
202301020106	3歳未勝利	['芝右2000m', '天候:晴', '芝:良', '発走:12:45']	['2023年8月12日', '2回札幌1日目', '3歳未勝利', '混', '指', '馬齢']			
202301020107	3歳以上1勝クラス	['ダ右1000m', '天候:晴', 'ダート:良', '発走:13:15']	['2023年8月12日', '2回札幌1日目', '3歳以上1勝クラス', '指', '定量']			
202301020108	3歳以上1勝クラス	['芝右2600m', '天候:晴', '芝:良', '発走:13:45']	['2023年8月12日', '2回札幌1日目', '3歳以上1勝クラス', '特指', '定量']			
202301020109	石狩特別(1勝)	['芝右1800m', '天候:晴', '芝:良', '発走:14:15', '過去の石狩特別']	['2023年8月12日', '2回札幌1日目', '3歳以上1勝クラス', '混', '指', '定量']			
