horse_id	date	rank	prize	rank_diff	weather	race_type	course_len	ground_state	agari	race_class	n_horses
2011106610	2022-10-30	8	0.0	1.7	0.0	1	1800	0.0	33.7	5.0	9.0
2011106610	2022-11-13	9	0.0	1.4	1.0	1	1600	0.0	34.0	3.0	11.0
2011106610	2022-12-03	10	0.0	1.1	0.0	1	1600	0.0	34.2	3.0	10.0
2011106610	2022-12-17	12	0.0	1.8	3.0	1	1600	2.0	35.4	5.0	12.0
2011106610	2023-04-09	7	0.0	1.4	0.0	1	1600	0.0	35.0	3.0	10.0
2011106610	2023-04-30	10	0.0	1.2	1.0	1	1600	0.0	34.2	3.0	11.0
2011106610	2023-05-14	9	0.0	1.1	1.0	1	1600	0.0	34.2	3.0	10.0
2011106610	2023-06-03	8	0.0	2.6	0.0	1	1800	0.0	36.2	5.0	8.0
2011106610	2023-06-25	11	0.0	1.5	1.0	1	1400	0.0	34.7	5.0	12.0
2011106610	2023-07-09	11	0.0	1.9	1.0	1	1600	2.0	35.5	3.0	12.0
2011106610	2023-09-18	9	0.0	2.7	0.0	1	1600	0.0	35.0	3.0	10.0
2011106610	2023-10-07	11	0.0	1.8	0.0	1	1600	0.0	34.4	5.0	11.0
2011106610	2023-10-29	9	0.0	2.3	0.0	1	1800	0.0	34.9	5.0	9.0
2011106610	2023-11-11	8	0.0	1.6	1.0	1	1600	0.0	34.7	3.0	8.0
2011106610	2023-12-10	8	0.0	3.9	0.0	1	2400	0.0	36.4	3.0	8.0
2011106610	2024-01-24	1	60.0	0.0	0.0	0	1300	1.0	41.4	9.0	9.0
2011106610	2024-01-31	2	21.0	1.5	2.0	0	1400	1.0	41.9	9.0	8.0
2011106610	2024-02-07	3	12.0	0.7	0.0	0	1300	3.0	40.0	9.0	9.0
2011106610	2024-02-21	8	0.0	3.2	3.0	0	1300	3.0	41.7	9.0	8.0
2011106610	2024-03-06	4	9.0	1.4	1.0	0	1300	3.0	39.7	5.0	11.0
2011106610	2024-03-20	5	6.0	0.7	2.0	0	1300	1.0	41.9	9.0	11.0
2011106610	2024-03-27	5	6.0	1.1	0.0	0	1400	3.0	41.6	9.0	12.0
2011106610	2024-04-14	9	0.0	2.3	0.0	0	1300	2.0	42.2	9.0	11.0
2011106610	2024-04-29	9	0.0	4.7	3.0	0	1400	3.0	41.9	5.0	10.0
2012100683	2014-08-03	2	280.0	0.0	0.0	1	1800	0.0	35.3	0.0	10.0
2012100683	2014-08-17	3	130.0	0.2	0.0	1	1800	0.0	35.1	1.0	14.0
2012100683	2015-02-07	10	0.0	0.6	0.0	1	1800	0.0	35.3	1.0	16.0
2012100683	2015-03-07	4	75.0	1.2	2.0	0	1800	1.0	40.9	1.0	15.0
2012100683	2015-03-28	3	130.0	0.1	0.0	1	1800	0.0	35.4	1.0	16.0
2012100683	2015-04-12	4	75.0	0.2	0.0	1	1800	0.0	35.3	1.0	16.0
2012100683	2015-04-25	9	0.0	1.0	0.0	1	1800	0.0	35.3	1.0	16.0
2012100683	2015-06-28	7	0.0	0.4	2.0	1	2000	1.0	36.6	1.0	16.0
2012100683	2015-07-11	4	69.0	0.2	0.0	1	1800	0.0	36.8	1.0	13.0
2012100683	2015-08-02	6	0.0	0.4	0.0	1	1500	0.0	36.1	1.0	14.0
2012100683	2015-08-22	7	0.0	0.9	0.0	1	2000	0.0	37.2	1.0	16.0
2012100683	2016-02-09	1	25.0	0.0	0.0	0	1400	2.0	38.8	10.0	9.0
2012100683	2016-03-01	1	25.0	0.0	0.0	0	1400	0.0	39.0	10.0	12.0
2012100683	2016-03-23	1	35.0	0.0	0.0	0	1400	0.0	38.6	11.0	11.0
2012100683	2016-05-04	2	12.5	1.3	0.0	0	1400	3.0	39.1		12.0
2012100683	2016-05-29	11	0.0	2.0	1.0	0	1800	0.0	40.0	2.0	16.0
2012100683	2016-07-09	3	190.0	0.9	1.0	0	1700	0.0	37.9	2.0	9.0
2012100683	2016-07-24	3	190.0	0.3	1.0	0	1700	0.0	39.7	2.0	13.0
2012100683	2016-08-06	2	300.0	0.4	0.0	0	1700	0.0	38.2	2.0	13.0
2012100683	2016-08-27	1	750.0	0.0	0.0	0	1700	0.0	38.6	2.0	13.0
2012100683	2016-09-04	10	0.0	1.5	1.0	0	1700	0.0	37.0	5.0	13.0
2012100683	2017-02-18	15	0.0	3.6	0.0	0	1700	0.0	39.8	5.0	16.0
2012100683	2017-04-09	6	0.0	1.0	1.0	2	2750	0.0	13.2	1.0	14.0
2012100683	2017-05-06	4	120.0	1.4	3.0	2	2890	2.0	13.3	1.0	12.0
2012100683	2017-05-28	1	780.0	0.0	0.0	2	2910	0.0	13.6	1.0	13.0
2012100683	2017-09-02	3	340.0	0.1	0.0	2	2860	0.0	13.2	5.0	12.0
2012100683	2017-09-23	5	165.0	0.4	1.0	2	3210	2.0	13.7	5.0	11.0
2012100683	2017-10-28	1	1350.0	0.0	1.0	2	2850	0.0	12.9	5.0	14.0
2012100683	2017-12-02	1	1674.5	0.0	0.0	2	3570	0.0	13.4	5.0	10.0
2012100683	2018-03-24	4	250.0	2.3	0.0	2	3350	0.0	13.5	5.0	8.0
2012100683	2018-04-21	2	540.0	0.2	0.0	2	3380	0.0	13.3	5.0	12.0
2012100683	2018-05-19	6	0.0	1.9	1.0	2	3290	1.0	13.4	5.0	14.0
2012100683	2018-07-28	8	0.0	3.5	0.0	2	3390	0.0	13.3		11.0
2012100683	2018-09-01	2	540.0	0.2	3.0	2	2860	1.0	13.2	5.0	10.0
2012100683	2018-09-22	1	1671.0	0.0	1.0	2	3210	2.0	13.5	5.0	10.0
2012100683	2018-11-10	3	734.5	1.2	0.0	2	3170	0.0	13.5		9.0
2012100683	2018-12-01	2	668.8	0.8	0.0	2	3570	0.0	13.4	5.0	14.0
2012100683	2018-12-22	3	1706.6	0.3	2.0	2	4100	0.0	13.7		13.0
2012100683	2019-03-23	1	1673.1	0.0	2.0	2	3350	2.0	13.3	5.0	11.0
2012100683	2019-04-13	3	1705.5	1.5	0.0	2	4250	0.0	13.6		11.0
2012100683	2019-06-22	2	1213.0	0.1	2.0	2	3110	2.0	13.5		13.0
2012100683	2021-01-23	8	0.0	1.2	3.0	0	1400	1.0	37.9	3.0	16.0
2012100683	2021-02-27	4	250.0	0.6	1.0	2	3390	2.0	13.7	5.0	11.0
2012100683	2021-04-17	6	0.0	2.9	1.0	2	4250	0.0	13.8		8.0
2012100683	2021-06-26	10	0.0	0.9	1.0	2	3110	0.0	13.5		14.0
2012100683	2021-08-28	6	0.0	1.2	0.0	2	3390	0.0	13.4		8.0
2012100683	2021-09-18	4	440.0	3.0	1.0	2	3300	3.0	13.4		10.0
2012100683	2021-11-13	5	290.0	1.8	1.0	2	3140	0.0	13.4		13.0
2012100683	2021-12-25	6	0.0	2.3	0.0	2	4100	2.0	14.1		14.0
2012100683	2022-03-12	9	0.0	6.1	0.0	2	3900	0.0	13.7		11.0
2012100683	2022-04-16	7	0.0	4.8	0.0	2	4250	2.0	14.0		9.0
2012100683	2022-07-09	4	200.0	1.5	0.0	2	3390	1.0	13.4	5.0	6.0
2012100683	2022-09-17	8	0.0	3.4	1.0	2	3300	0.0	13.1		14.0
2012100683	2022-12-03	13	0.0	7.4	1.0	2	3570	0.0	13.9	5.0	14.0
2012100683	2022-12-24	4	170.0	1.0	0.0	0	1400	2.0	37.4	3.0	16.0
2012100683	2023-01-15	7	0.0	0.9	1.0	0	1200	2.0	36.2	3.0	13.0
2012100683	2023-03-26	10	0.0	0.9	3.0	0	1200	3.0	35.6	3.0	16.0
2012100683	2023-04-08	5	114.0	0.3	0.0	0	1200	1.0	36.1	3.0	13.0
2012100683	2023-06-25	10	0.0	0.5	1.0	0	1200	0.0	36.5	3.0	16.0
2012100683	2023-07-16	7	0.0	0.4	0.0	1	1400	0.0	34.2	3.0	14.0
2012100683	2023-10-01	1	1140.0	0.0	1.0	0	1400	1.0	36.9	3.0	16.0
2012100683	2023-10-22	5	184.0	1.0	0.0	0	1400	0.0	36.5	4.0	14.0
2012100683	2023-12-17	9	0.0	2.0	0.0	0	1400	2.0	38.3	4.0	16.0
2012100683	2024-01-06	8	0.0	1.1	1.0	0	1400	0.0	37.1	4.0	12.0
2012100683	2024-02-17	8	0.0	0.8	0.0	0	1400	2.0	36.8	4.0	16.0
2012100683	2024-04-13	12	0.0	1.3	0.0	0	1400	0.0	36.6	4.0	15.0
2012100683	2024-06-02	4	13.5	2.4	0.0	0	1400	1.0	41.3	5.0	9.0
2012100683	2024-06-16	2	31.5	0.8	0.0	0	1400	0.0	39.5	11.0	10.0
2012100683	2024-06-30	7	0.0	1.2	1.0	0	1300	3.0	38.8	5.0	10.0
2012100683	2024-07-15	2	31.5	0.1	3.0	0	1400	3.0	39.7	11.0	11.0
2012100683	2024-07-28	4	24.0	1.7	0.0	0	1600	0.0	39.7	5.0	8.0
2012100683	2024-09-08	6	0.0	1.3	0.0	0	1400	0.0	41.3	11.0	10.0
2012100683	2024-09-23	5	9.0	1.6	0.0	0	1400	1.0	40.2	11.0	9.0
2012100683	2024-10-06	4	13.5	1.6	0.0	0	1400	1.0	39.0	11.0	11.0
2012100683	2024-10-20	8	0.0	1.5	0.0	0	1300	2.0	40.2	11.0	9.0
2012100683	2024-11-03	7	0.0	1.1	0.0	0	1400	3.0	40.2	5.0	12.0
2012100683	2024-12-01	9	0.0	2.2	0.0	0	1300	2.0	40.0	11.0	11.0
2012100683	2024-12-15	5	9.0	0.7	0.0	0	1400	0.0	41.4	11.0	12.0
2012103532	2014-11-09	9	0.0	1.3	3.0	1	2000	0.0	35.5	0.0	10.0
2012103532	2014-11-30	14	0.0	1.7	0.0	1	1800	2.0	36.1	1.0	17.0
2012103532	2015-04-25	9	0.0	0.9	0.0	1	2200	0.0	34.9	1.0	16.0
2012103532	2015-05-10	3	130.0	0.6	0.0	1	2400	0.0	36.1	1.0	11.0
2012103532	2015-05-23	3	130.0	0.2	0.0	1	2200	0.0	35.1	1.0	15.0
2012103532	2015-06-20	1	460.0	0.0	1.0	1	2400	0.0	34.7	1.0	18.0
2012103532	2015-07-12	2	300.0	0.2	0.0	1	2200	0.0	34.7	2.0	16.0
2012103532	2015-08-02	5	105.0	0.1	0.0	1	2000	0.0	35.4	5.0	12.0
2012103532	2015-11-14	9	0.0	0.5	3.0	1	2600	1.0	37.5	2.0	16.0
2012103532	2015-12-12	12	0.0	1.2	1.0	1	2200	2.0	36.0	5.0	18.0
2012103532	2016-01-16	6	0.0	0.5	0.0	1	2000	0.0	34.6	2.0	17.0
2012103532	2016-01-23	5	75.0	0.4	1.0	1	2000	0.0	34.1	2.0	11.0
